onset	duration	trial_type	block	probe_condition	response	response_time	accuracy
0.000	10.000	stationarybaseline	1	n/a	n/a	n/a	n/a
10.000	2.000	target_cue	1	n/a	n/a	n/a	n/a
12.000	10.000	tracking	1	n/a	n/a	n/a	n/a
22.000	4.000	response	1	distractor	n/a	n/a	0
26.000	10.000	stationarybaseline	2	n/a	n/a	n/a	n/a
36.000	2.000	target_cue	2	n/a	n/a	n/a	n/a
38.000	10.000	tracking	2	n/a	n/a	n/a	n/a
48.000	4.000	response	2	distractor	n/a	n/a	0
52.000	10.000	stationarybaseline	3	n/a	n/a	n/a	n/a
62.000	2.000	target_cue	3	n/a	n/a	n/a	n/a
64.000	10.000	tracking	3	n/a	n/a	n/a	n/a
74.000	4.000	response	3	distractor	n/a	n/a	0
78.000	10.000	stationarybaseline	4	n/a	n/a	n/a	n/a
88.000	2.000	target_cue	4	n/a	n/a	n/a	n/a
90.000	10.000	tracking	4	n/a	n/a	n/a	n/a
100.000	4.000	response	4	target	n/a	n/a	0
104.000	10.000	stationarybaseline	4	n/a	n/a	n/a	n/a
