onset	duration	trial_type
0.000	16.000	stationary
16.000	16.000	moving
32.000	16.000	stationary
48.000	16.000	moving
64.000	16.000	stationary
80.000	16.000	moving
96.000	16.000	stationary
112.000	16.000	moving
128.000	16.000	stationary
144.000	16.000	moving
160.000	16.000	stationary
176.000	16.000	moving
192.000	16.000	stationary
208.000	16.000	moving
224.000	16.000	stationary
240.000	16.000	moving
256.000	16.000	stationary
272.000	16.000	moving
288.000	16.000	stationary
304.000	16.000	moving
320.000	16.000	stationary
336.000	16.000	moving
352.000	16.000	stationary
368.000	16.000	moving
384.000	16.000	stationary
400.000	16.000	moving
416.000	16.000	stationary
432.000	16.000	moving
448.000	16.000	stationary
