onset	duration	trial_type
0.000	12.896	fixation
15.115	2.600	vertical_motion
17.714	4.766	vertical_motion
22.481	4.767	horizontal_motion
27.248	6.500	vertical_motion
33.748	7.800	horizontal_motion
41.548	12.997	vertical_motion
54.545	11.299	horizontal_motion
65.844	10.399	vertical_motion
76.244	9.966	vertical_motion
86.209	5.633	horizontal_motion
91.842	12.133	flickerSl
103.976	3.900	flickerSl
107.876	3.898	vertical_motion
111.774	5.233	horizontal_motion
117.007	3.466	vertical_motion
120.474	7.799	horizontal_motion
128.273	4.766	vertical_motion
133.039	6.500	horizontal_motion
139.539	8.233	vertical_motion
147.772	6.934	horizontal_motion
154.705	10.833	vertical_motion
165.538	8.232	horizontal_motion
173.770	8.266	vertical_motion
182.036	3.466	horizontal_motion
185.502	16.899	flickerSl
202.401	6.066	vertical_motion
208.467	1.734	horizontal_motion
210.201	3.466	vertical_motion
213.667	6.500	horizontal_motion
220.166	5.200	vertical_motion
225.366	5.633	horizontal_motion
230.999	6.533	vertical_motion
237.532	2.167	horizontal_motion
239.698	6.933	vertical_motion
246.631	6.066	horizontal_motion
252.697	2.601	vertical_motion
255.298	2.600	horizontal_motion
257.898	5.200	vertical_motion
263.098	1.732	horizontal_motion
264.830	1.734	vertical_motion
266.564	2.166	horizontal_motion
268.730	4.765	vertical_motion
273.496	5.200	horizontal_motion
278.695	10.833	flickerSl
289.529	6.065	flickerSl
295.594	0.900	horizontal_motion
296.494	6.067	vertical_motion
302.561	2.165	horizontal_motion
304.727	5.200	vertical_motion
309.926	3.468	horizontal_motion
313.394	4.766	vertical_motion
318.160	4.333	horizontal_motion
322.493	3.467	vertical_motion
325.960	1.731	horizontal_motion
327.692	2.600	vertical_motion
330.292	4.767	vertical_motion
335.059	3.033	horizontal_motion
338.092	6.499	vertical_motion
344.591	5.634	horizontal_motion
350.225	5.198	vertical_motion
355.423	4.801	horizontal_motion
360.224	6.498	vertical_motion
366.722	5.634	horizontal_motion
372.357	14.523	flickerSl
386.880	12.896	fixation
