onset	duration	trial_type	success
0.000	12.896	precue_horizontal	1
12.896	8.060	delay_horizontal	1
33.852	14.508	precue_vertical	1
48.360	8.060	delay_vertical	1
67.704	12.896	precue_horizontal	1
80.600	8.060	delay_horizontal	1
101.556	12.896	precue_vertical	1
114.452	9.672	delay_vertical	1
135.408	16.120	precue_vertical	1
151.528	8.060	delay_vertical	1
169.260	12.896	precue_horizontal	1
182.156	9.672	delay_horizontal	1
203.112	12.896	precue_vertical	1
216.008	9.672	delay_vertical	1
236.964	16.120	precue_horizontal	1
253.084	6.448	delay_horizontal	1
270.816	12.896	precue_horizontal	1
283.712	9.672	delay_horizontal	1
304.668	14.508	precue_vertical	1
319.176	6.448	delay_vertical	1
