Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,4,red_Square,blue_Square,None,None,3,28.894616100005805,3,True
2,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,62.15989300000365,3,True
3,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,95.93968159999349,1,True
4,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,130.42068320000544,2,True
5,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,163.5680365000153,4,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,197.89891570000327,3,True
7,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,1,red_Square,blue_Square,None,None,1,231.34640800001216,1,True
8,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,red_Square,blue_Square,None,None,3,265.0627003000118,3,True
9,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,299.4925026000128,2,True
10,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,2,red_Square,blue_Square,None,None,2,333.0061707000132,2,True
