Trial,Stim,Duration,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success,Timestamp,Onset
1,PrecueTime,9,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,28.545387099991785,2,True,9,0
1,DelayTime,6,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,28.545387099991785,2,True,15,9
1,SwitchTime,2,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,28.545387099991785,2,True,17,15
1,ReportTime,4,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,28.545387099991785,2,True,21,17
2,PrecueTime,10,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.09280620000209,1,True,31,21
2,DelayTime,5,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.09280620000209,1,True,36,31
2,SwitchTime,2,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.09280620000209,1,True,38,36
2,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.09280620000209,1,True,42,38
3,PrecueTime,9,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,96.09036139998352,2,True,51,42
3,DelayTime,5,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,96.09036139998352,2,True,56,51
3,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,96.09036139998352,2,True,59,56
3,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,96.09036139998352,2,True,63,59
4,PrecueTime,9,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,129.9054238999961,4,True,72,63
4,DelayTime,6,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,129.9054238999961,4,True,78,72
4,SwitchTime,2,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,129.9054238999961,4,True,80,78
4,ReportTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,129.9054238999961,4,True,84,80
5,PrecueTime,9,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,163.58570950001013,4,True,93,84
5,DelayTime,4,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,163.58570950001013,4,True,97,93
5,SwitchTime,4,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,163.58570950001013,4,True,101,97
5,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,163.58570950001013,4,True,105,101
6,PrecueTime,8,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,197.5828707999899,3,True,113,105
6,DelayTime,6,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,197.5828707999899,3,True,119,113
6,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,197.5828707999899,3,True,122,119
6,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,197.5828707999899,3,True,126,122
7,PrecueTime,8,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.38049159999355,3,True,134,126
7,DelayTime,6,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.38049159999355,3,True,140,134
7,SwitchTime,3,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.38049159999355,3,True,143,140
7,ReportTime,4,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.38049159999355,3,True,147,143
8,PrecueTime,9,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,265.4446631000028,3,True,156,147
8,DelayTime,4,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,265.4446631000028,3,True,160,156
8,SwitchTime,4,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,265.4446631000028,3,True,164,160
8,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,265.4446631000028,3,True,168,164
9,PrecueTime,10,"quartetPart2, quartetPart1",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,299.15881719999015,4,True,178,168
9,DelayTime,4,"quartetPart2, quartetPart1",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,299.15881719999015,4,True,182,178
