Index,Condition,Duration,Timestamp,Onset,Target
0,0,5.0,5.0,0,None
1,1,5.0,10.0,5,None
2,0,5.0,15.0,10,11.0
3,1,5.0,20.0,15,None
4,0,5.0,25.0,20,None
5,1,5.0,30.0,25,None
6,0,5.0,35.0,30,None
7,1,5.0,40.0,35,None
8,0,5.0,45.0,40,None
9,1,5.0,50.0,45,None
10,0,5.0,55.0,50,None
11,1,5.0,60.0,55,None
12,0,5.0,65.0,60,62.0
13,1,5.0,70.0,65,66.0
14,0,5.0,75.0,70,None
15,1,5.0,80.0,75,None
16,0,5.0,85.0,80,None
17,1,5.0,90.0,85,90.0
18,0,5.0,95.0,90,None
19,1,5.0,100.0,95,98.0
20,0,5.0,105.0,100,103.0
21,1,5.0,110.0,105,None
22,0,5.0,115.0,110,None
23,1,5.0,120.0,115,None
24,0,5.0,125.0,120,None
25,1,5.0,130.0,125,129.0
26,0,5.0,135.0,130,None
27,1,5.0,140.0,135,None
28,0,5.0,145.0,0,None
